time,error,command,distance
0.704000,1.000000,17.818900,0.000000
0.768000,0.991825,9.867131,0.008175
0.832000,0.983586,9.790529,0.016414
0.896000,0.975346,9.714378,0.024654
0.960000,0.967171,9.639321,0.032829
1.024000,0.958996,9.563708,0.041004
1.088000,0.950757,9.486897,0.049243
1.152000,0.942518,9.410535,0.057482
1.216000,0.934278,9.334121,0.065722
1.280000,0.926103,9.258801,0.073897
1.344000,0.917928,9.182926,0.082072
1.408000,0.909689,9.105851,0.090311
1.472000,0.901450,9.029227,0.098550
1.536000,0.893210,8.952550,0.106790
1.600000,0.885100,8.878114,0.114900
1.664000,0.876860,8.800327,0.123140
1.728000,0.868621,8.723492,0.131379
1.792000,0.860381,8.646605,0.139619
1.856000,0.852206,8.570812,0.147794
1.920000,0.844031,8.494464,0.155969
1.984000,0.835792,8.416917,0.164208
2.048000,0.827553,8.339819,0.172447
2.112000,0.819313,8.262669,0.180687
2.176000,0.811138,8.186614,0.188862
2.240000,0.802963,8.110003,0.197037
2.304000,0.794724,8.032193,0.205276
2.368000,0.786485,7.954832,0.213515
2.432000,0.778245,7.877420,0.221755
2.496000,0.770135,7.802248,0.229865
2.560000,0.761895,7.723725,0.238105
2.624000,0.753656,7.646155,0.246344
2.688000,0.745417,7.568532,0.254583
2.752000,0.737242,7.492003,0.262758
2.816000,0.729067,7.414919,0.270933
2.880000,0.720827,7.336636,0.279173
2.944000,0.712588,7.258803,0.287412
3.008000,0.704349,7.180917,0.295651
3.072000,0.696174,7.104126,0.303826
3.136000,0.687999,7.026779,0.312001
3.200000,0.679759,6.948233,0.320241
3.264000,0.671520,6.870137,0.328480
3.328000,0.663281,6.791988,0.336719
3.392000,0.655170,6.716081,0.344830
3.456000,0.646931,6.636822,0.353069
3.520000,0.638691,6.558516,0.361309
3.584000,0.630452,6.480157,0.369548
3.648000,0.622212,6.401746,0.377788
3.712000,0.614102,6.325576,0.385898
3.776000,0.605862,6.246054,0.394138
3.840000,0.597623,6.167485,0.402377
3.904000,0.589384,6.088864,0.410616
3.968000,0.581209,6.011336,0.418791
4.032000,0.573034,5.933254,0.426966
4.096000,0.564794,5.853972,0.435206
4.160000,0.556555,5.775140,0.443445
4.224000,0.548316,5.696256,0.451684
4.288000,0.540205,5.619613,0.459795
4.352000,0.531966,5.539618,0.468034
4.416000,0.523726,5.460576,0.476274
4.480000,0.515487,5.381482,0.484513
4.544000,0.507248,5.302335,0.492752
4.608000,0.499137,5.225429,0.500863
4.672000,0.490898,5.145171,0.509102
4.736000,0.482658,5.065866,0.517342
4.800000,0.474419,4.986509,0.525581
4.864000,0.466244,4.908246,0.533756
4.928000,0.458069,4.829428,0.541931
4.992000,0.449830,4.749410,0.550170
5.056000,0.441590,4.669843,0.558410
5.120000,0.433351,4.590223,0.566649
5.184000,0.425240,4.512844,0.574760
5.248000,0.417001,4.432113,0.582999
5.312000,0.408762,4.352336,0.591238
5.376000,0.400522,4.272505,0.599478
5.440000,0.392347,4.193769,0.607653
5.504000,0.384301,4.116772,0.615699
5.568000,0.376255,4.038718,0.623745
5.632000,0.368337,3.962906,0.631663
5.696000,0.360548,3.888331,0.639452
5.760000,0.352888,3.814995,0.647112
5.824000,0.345293,3.741752,0.654707
5.888000,0.337697,3.667956,0.662303
5.952000,0.330359,3.598700,0.669641
6.016000,0.323021,3.527386,0.676979
6.080000,0.315811,3.458318,0.684189
6.144000,0.308602,3.388199,0.691398
6.208000,0.301521,3.320328,0.698479
6.272000,0.294569,3.253699,0.705431
6.336000,0.287746,3.188314,0.712254
6.400000,0.280923,3.121880,0.719077
6.464000,0.274228,3.057696,0.725772
6.528000,0.267598,2.993610,0.732402
6.592000,0.261097,2.931273,0.738903
6.656000,0.254660,2.869036,0.745340
6.720000,0.248223,2.806255,0.751777
6.784000,0.241915,2.745726,0.758085
6.848000,0.235735,2.686445,0.764265
6.912000,0.229555,2.626119,0.770445
6.976000,0.223505,2.568048,0.776495
7.040000,0.217583,2.511226,0.782417
7.104000,0.211661,2.453360,0.788339
7.168000,0.205803,2.396603,0.794197
7.232000,0.200074,2.341600,0.799926
7.296000,0.194409,2.286702,0.805591
7.360000,0.188745,2.231264,0.811255
7.424000,0.183209,2.178084,0.816791
7.488000,0.177673,2.123863,0.822327
7.552000,0.172331,2.073048,0.827669
7.616000,0.166988,2.020689,0.833012
7.680000,0.161709,1.969444,0.838291
7.744000,0.156560,1.919955,0.843440
7.808000,0.151410,1.869428,0.848590
7.872000,0.146261,1.818869,0.853739
7.936000,0.141304,1.771717,0.858696
8.000000,0.136348,1.723024,0.863652
8.064000,0.131456,1.675447,0.868544
8.128000,0.126692,1.629630,0.873308
8.192000,0.121929,1.582777,0.878071
8.256000,0.117165,1.535893,0.882835
8.320000,0.112531,1.491272,0.887469
8.384000,0.108025,1.447911,0.891975
8.448000,0.103519,1.403514,0.896481
8.512000,0.099013,1.359089,0.900987
8.576000,0.094636,1.316929,0.905364
8.640000,0.090259,1.273735,0.909741
8.704000,0.086010,1.232807,0.913990
8.768000,0.081762,1.190846,0.918238
8.832000,0.077514,1.148858,0.922486
8.896000,0.073394,1.109136,0.926606
8.960000,0.069403,1.070677,0.930597
9.024000,0.065283,1.028892,0.934717
9.088000,0.061421,0.992675,0.938579
9.152000,0.057430,0.952127,0.942570
9.216000,0.053568,0.914854,0.946432
9.280000,0.049706,0.876550,0.950294
9.344000,0.045972,0.840515,0.954028
9.408000,0.042239,0.803451,0.957761
9.472000,0.038634,0.768657,0.961366
9.536000,0.034901,0.730540,0.965099
9.600000,0.031425,0.697993,0.968575
9.664000,0.027820,0.661118,0.972180
9.728000,0.024344,0.627520,0.975656
9.792000,0.020868,0.592893,0.979132
9.856000,0.017521,0.560539,0.982479
9.920000,0.014173,0.527157,0.985827
9.984000,0.010826,0.493754,0.989174
10.048000,0.007608,0.462624,0.992392
12.992000,1.000000,17.818900,0.000000
13.056000,0.991825,9.867131,0.008175
13.120000,0.983586,9.790529,0.016414
13.184000,0.975346,9.714378,0.024654
13.248000,0.967171,9.639321,0.032829
13.312000,0.958996,9.563708,0.041004
13.376000,0.950757,9.486897,0.049243
13.440000,0.942518,9.410535,0.057482
13.504000,0.934278,9.334121,0.065722
13.568000,0.926103,9.258801,0.073897
13.632000,0.917928,9.182926,0.082072
13.696000,0.909689,9.105851,0.090311
13.760000,0.901450,9.029227,0.098550
13.824000,0.893210,8.952550,0.106790
13.888000,0.885100,8.878114,0.114900
13.952000,0.876860,8.800327,0.123140
14.016000,0.868621,8.723492,0.131379
14.080000,0.860381,8.646605,0.139619
14.144000,0.852206,8.570812,0.147794
14.208000,0.844031,8.494464,0.155969
14.272000,0.835792,8.416917,0.164208
14.336000,0.827553,8.339819,0.172447
14.400000,0.819313,8.262669,0.180687
14.464000,0.811138,8.186614,0.188862
14.528000,0.802963,8.110003,0.197037
14.592000,0.794724,8.032193,0.205276
14.656000,0.786485,7.954832,0.213515
14.720000,0.778245,7.877420,0.221755
14.784000,0.770135,7.802248,0.229865
14.848000,0.761895,7.723725,0.238105
14.912000,0.753656,7.646155,0.246344
14.976000,0.745417,7.568532,0.254583
15.040000,0.737242,7.492003,0.262758
15.104000,0.729067,7.414919,0.270933
15.168000,0.720827,7.336636,0.279173
15.232000,0.712588,7.258803,0.287412
15.296000,0.704349,7.180917,0.295651
15.360000,0.696174,7.104126,0.303826
15.424000,0.687999,7.026779,0.312001
15.488000,0.679759,6.948233,0.320241
15.552000,0.671520,6.870137,0.328480
15.616000,0.663281,6.791988,0.336719
15.680000,0.655170,6.716081,0.344830
15.744000,0.646931,6.636822,0.353069
15.808000,0.638691,6.558516,0.361309
15.872000,0.630452,6.480157,0.369548
15.936000,0.622277,6.402893,0.377723
16.000000,0.614102,6.325073,0.385898
16.064000,0.605862,6.246054,0.394138
16.128000,0.597623,6.167486,0.402377
16.192000,0.589384,6.088864,0.410616
16.256000,0.581209,6.011337,0.418791
16.320000,0.573034,5.933254,0.426966
16.384000,0.564794,5.853972,0.435206
16.448000,0.556555,5.775141,0.443445
16.512000,0.548316,5.696256,0.451684
16.576000,0.540205,5.619613,0.459795
16.640000,0.531966,5.539618,0.468034
16.704000,0.523726,5.460577,0.476274
16.768000,0.515487,5.381482,0.484513
16.832000,0.507312,5.303482,0.492688
16.896000,0.499137,5.224927,0.500863
16.960000,0.490898,5.145172,0.509102
17.024000,0.482658,5.065867,0.517342
17.088000,0.474419,4.986510,0.525581
17.152000,0.466244,4.908247,0.533756
17.216000,0.458069,4.829429,0.541931
17.280000,0.449830,4.749411,0.550170
17.344000,0.441590,4.669844,0.558410
17.408000,0.433351,4.590224,0.566649
17.472000,0.425240,4.512845,0.574760
17.536000,0.417001,4.432114,0.582999
17.600000,0.408762,4.352337,0.591238
17.664000,0.400522,4.272506,0.599478
17.728000,0.392347,4.193770,0.607653
17.792000,0.384301,4.116773,0.615699
17.856000,0.376255,4.038719,0.623745
17.920000,0.368337,3.962907,0.631663
17.984000,0.360548,3.888332,0.639452
18.048000,0.352888,3.814996,0.647112
18.112000,0.345293,3.741752,0.654707
18.176000,0.337697,3.667957,0.662303
18.240000,0.330359,3.598701,0.669641
18.304000,0.323021,3.527387,0.676979
18.368000,0.315811,3.458319,0.684189
18.432000,0.308602,3.388200,0.691398
18.496000,0.301521,3.320328,0.698479
18.560000,0.294569,3.253700,0.705431
18.624000,0.287746,3.188315,0.712254
18.688000,0.280923,3.121881,0.719077
18.752000,0.274228,3.057697,0.725772
18.816000,0.267598,2.993611,0.732402
18.880000,0.261097,2.931274,0.738903
18.944000,0.254660,2.869037,0.745340
19.008000,0.248223,2.806256,0.751777
19.072000,0.241915,2.745727,0.758085
19.136000,0.235735,2.686446,0.764265
19.200000,0.229555,2.626120,0.770445
19.264000,0.223505,2.568049,0.776495
19.328000,0.217583,2.511227,0.782417
19.392000,0.211661,2.453361,0.788339
19.456000,0.205803,2.396604,0.794197
19.520000,0.200074,2.341601,0.799926
19.584000,0.194409,2.286703,0.805591
19.648000,0.188745,2.231265,0.811255
19.712000,0.183209,2.178085,0.816791
19.776000,0.177673,2.123864,0.822327
19.840000,0.172331,2.073048,0.827669
19.904000,0.166988,2.020690,0.833012
19.968000,0.161709,1.969445,0.838291
20.032000,0.156560,1.919956,0.843440
20.096000,0.151410,1.869429,0.848590
20.160000,0.146261,1.818869,0.853739
20.224000,0.141304,1.771717,0.858696
20.288000,0.136348,1.723025,0.863652
20.352000,0.131456,1.675448,0.868544
20.416000,0.126692,1.629631,0.873308
20.480000,0.121929,1.582778,0.878071
20.544000,0.117165,1.535894,0.882835
20.608000,0.112531,1.491273,0.887469
20.672000,0.108025,1.447911,0.891975
20.736000,0.103519,1.403515,0.896481
20.800000,0.099013,1.359090,0.900987
20.864000,0.094636,1.316929,0.905364
20.928000,0.090259,1.273735,0.909741
20.992000,0.086010,1.232808,0.913990
21.056000,0.081762,1.190847,0.918238
21.120000,0.077514,1.148858,0.922486
21.184000,0.073394,1.109137,0.926606
21.248000,0.069403,1.070678,0.930597
21.312000,0.065283,1.028893,0.934717
21.376000,0.061421,0.992676,0.938579
21.440000,0.057430,0.952128,0.942570
21.504000,0.053568,0.914855,0.946432
21.568000,0.049706,0.876551,0.950294
21.632000,0.045972,0.840516,0.954028
21.696000,0.042239,0.803452,0.957761
21.760000,0.038634,0.768658,0.961366
21.824000,0.034901,0.730541,0.965099
21.888000,0.031425,0.697994,0.968575
21.952000,0.027820,0.661119,0.972180
22.016000,0.024344,0.627520,0.975656
22.080000,0.020868,0.592894,0.979132
22.144000,0.017521,0.560540,0.982479
22.208000,0.014173,0.527158,0.985827
22.272000,0.010826,0.493755,0.989174
22.336000,0.007608,0.462624,0.992392
25.280000,1.000000,17.818900,0.000000
25.344000,0.991825,9.867131,0.008175
25.408000,0.983586,9.790529,0.016414
25.472000,0.975346,9.714378,0.024654
25.536000,0.967171,9.639321,0.032829
25.600000,0.958996,9.563708,0.041004
25.664000,0.950757,9.486897,0.049243
25.728000,0.942518,9.410535,0.057482
25.792000,0.934278,9.334121,0.065722
25.856000,0.926103,9.258801,0.073897
25.920000,0.917928,9.182926,0.082072
25.984000,0.909689,9.105851,0.090311
26.048000,0.901450,9.029227,0.098550
26.112000,0.893210,8.952550,0.106790
26.176000,0.885100,8.878114,0.114900
26.240000,0.876860,8.800327,0.123140
26.304000,0.868621,8.723492,0.131379
26.368000,0.860381,8.646605,0.139619
26.432000,0.852206,8.570812,0.147794
26.496000,0.844031,8.494464,0.155969
26.560000,0.835792,8.416917,0.164208
26.624000,0.827553,8.339819,0.172447
26.688000,0.819313,8.262669,0.180687
26.752000,0.811138,8.186614,0.188862
26.816000,0.802963,8.110003,0.197037
26.880000,0.794724,8.032193,0.205276
26.944000,0.786485,7.954832,0.213515
27.008000,0.778245,7.877420,0.221755
27.072000,0.770135,7.802248,0.229865
27.136000,0.761895,7.723725,0.238105
27.200000,0.753656,7.646155,0.246344
27.264000,0.745417,7.568532,0.254583
27.328000,0.737242,7.492003,0.262758
27.392000,0.729067,7.414919,0.270933
27.456000,0.720827,7.336636,0.279173
27.520000,0.712588,7.258803,0.287412
27.584000,0.704349,7.180917,0.295651
27.648000,0.696174,7.104126,0.303826
27.712000,0.687999,7.026779,0.312001
27.776000,0.679759,6.948233,0.320241
27.840000,0.671520,6.870137,0.328480
27.904000,0.663281,6.791988,0.336719
27.968000,0.655170,6.716081,0.344830
28.032000,0.646931,6.636822,0.353069
28.096000,0.638691,6.558516,0.361309
28.160000,0.630452,6.480157,0.369548
28.224000,0.622277,6.402893,0.377723
28.288000,0.614102,6.325073,0.385898
28.352000,0.605862,6.246054,0.394138
28.416000,0.597623,6.167486,0.402377
28.480000,0.589384,6.088864,0.410616
28.544000,0.581209,6.011337,0.418791
28.608000,0.573034,5.933254,0.426966
28.672000,0.564794,5.853972,0.435206
28.736000,0.556555,5.775141,0.443445
28.800000,0.548316,5.696256,0.451684
28.864000,0.540205,5.619613,0.459795
28.928000,0.531966,5.539618,0.468034
28.992000,0.523726,5.460577,0.476274
29.056000,0.515487,5.381482,0.484513
29.120000,0.507312,5.303482,0.492688
29.184000,0.499137,5.224927,0.500863
29.248000,0.490898,5.145172,0.509102
29.312000,0.482658,5.065867,0.517342
29.376000,0.474419,4.986510,0.525581
29.440000,0.466244,4.908247,0.533756
29.504000,0.458069,4.829429,0.541931
29.568000,0.449830,4.749411,0.550170
29.632000,0.441590,4.669844,0.558410
29.696000,0.433351,4.590224,0.566649
29.760000,0.425240,4.512845,0.574760
29.824000,0.417001,4.432114,0.582999
29.888000,0.408762,4.352337,0.591238
29.952000,0.400522,4.272506,0.599478
30.016000,0.392347,4.193770,0.607653
30.080000,0.384301,4.116773,0.615699
30.144000,0.376255,4.038719,0.623745
30.208000,0.368337,3.962907,0.631663
30.272000,0.360548,3.888332,0.639452
30.336000,0.352888,3.814996,0.647112
30.400000,0.345293,3.741752,0.654707
30.464000,0.337697,3.667957,0.662303
30.528000,0.330359,3.598701,0.669641
30.592000,0.323021,3.527387,0.676979
30.656000,0.315811,3.458319,0.684189
30.720000,0.308602,3.388200,0.691398
30.784000,0.301521,3.320328,0.698479
30.848000,0.294569,3.253700,0.705431
30.912000,0.287746,3.188315,0.712254
30.976000,0.280923,3.121881,0.719077
31.040000,0.274228,3.057697,0.725772
31.104000,0.267598,2.993611,0.732402
31.168000,0.261097,2.931274,0.738903
31.232000,0.254660,2.869037,0.745340
31.296000,0.248223,2.806256,0.751777
31.360000,0.241915,2.745727,0.758085
31.424000,0.235735,2.686446,0.764265
31.488000,0.229555,2.626120,0.770445
31.552000,0.223505,2.568049,0.776495
31.616000,0.217583,2.511227,0.782417
31.680000,0.211661,2.453361,0.788339
31.744000,0.205803,2.396604,0.794197
31.808000,0.200074,2.341601,0.799926
31.872000,0.194409,2.286703,0.805591
31.936000,0.188745,2.231265,0.811255
32.000000,0.183209,2.178085,0.816791
32.064000,0.177673,2.123864,0.822327
32.128000,0.172331,2.073048,0.827669
32.192000,0.166988,2.020690,0.833012
32.256000,0.161709,1.969445,0.838291
32.320000,0.156560,1.919956,0.843440
32.384000,0.151410,1.869429,0.848590
32.448000,0.146261,1.818869,0.853739
32.512000,0.141304,1.771717,0.858696
32.576000,0.136348,1.723025,0.863652
32.640000,0.131456,1.675448,0.868544
32.704000,0.126692,1.629631,0.873308
32.768000,0.121929,1.582778,0.878071
32.832000,0.117165,1.535894,0.882835
32.896000,0.112531,1.491273,0.887469
32.960000,0.108025,1.447911,0.891975
33.024000,0.103519,1.403515,0.896481
33.088000,0.099013,1.359090,0.900987
33.152000,0.094636,1.316929,0.905364
33.216000,0.090259,1.273735,0.909741
33.280000,0.086010,1.232808,0.913990
33.344000,0.081762,1.190847,0.918238
33.408000,0.077514,1.148858,0.922486
33.472000,0.073394,1.109137,0.926606
33.536000,0.069403,1.070678,0.930597
33.600000,0.065283,1.028893,0.934717
33.664000,0.061421,0.992676,0.938579
33.728000,0.057430,0.952128,0.942570
33.792000,0.053568,0.914855,0.946432
33.856000,0.049706,0.876551,0.950294
33.920000,0.045972,0.840516,0.954028
33.984000,0.042239,0.803452,0.957761
34.048000,0.038634,0.768658,0.961366
34.112000,0.034901,0.730541,0.965099
34.176000,0.031425,0.697994,0.968575
34.240000,0.027820,0.661119,0.972180
34.304000,0.024344,0.627520,0.975656
34.368000,0.020868,0.592894,0.979132
34.432000,0.017521,0.560540,0.982479
34.496000,0.014173,0.527158,0.985827
34.560000,0.010826,0.493755,0.989174
34.624000,0.007608,0.462624,0.992392
37.568000,1.000000,17.818900,0.000000
37.632000,0.991825,9.867131,0.008175
37.696000,0.983586,9.790529,0.016414
37.760000,0.975346,9.714378,0.024654
37.824000,0.967171,9.639321,0.032829
37.888000,0.958996,9.563708,0.041004
37.952000,0.950757,9.486897,0.049243
38.016000,0.942518,9.410535,0.057482
38.080000,0.934278,9.334121,0.065722
38.144000,0.926103,9.258801,0.073897
38.208000,0.917928,9.182926,0.082072
38.272000,0.909689,9.105851,0.090311
38.336000,0.901450,9.029227,0.098550
38.400000,0.893210,8.952550,0.106790
38.464000,0.885100,8.878114,0.114900
38.528000,0.876860,8.800327,0.123140
38.592000,0.868621,8.723492,0.131379
38.656000,0.860381,8.646605,0.139619
38.720000,0.852206,8.570812,0.147794
38.784000,0.844031,8.494464,0.155969
38.848000,0.835792,8.416917,0.164208
38.912000,0.827553,8.339819,0.172447
38.976000,0.819313,8.262669,0.180687
39.040000,0.811138,8.186614,0.188862
39.104000,0.802963,8.110003,0.197037
39.168000,0.794724,8.032193,0.205276
39.232000,0.786485,7.954832,0.213515
39.296000,0.778245,7.877420,0.221755
39.360000,0.770135,7.802248,0.229865
39.424000,0.761895,7.723725,0.238105
39.488000,0.753656,7.646155,0.246344
39.552000,0.745417,7.568532,0.254583
39.616000,0.737242,7.492003,0.262758
39.680000,0.729067,7.414919,0.270933
39.744000,0.720827,7.336636,0.279173
39.808000,0.712588,7.258803,0.287412
39.872000,0.704349,7.180917,0.295651
39.936000,0.696174,7.104126,0.303826
40.000000,0.687999,7.026779,0.312001
40.064000,0.679759,6.948233,0.320241
40.128000,0.671520,6.870137,0.328480
40.192000,0.663281,6.791988,0.336719
40.256000,0.655170,6.716081,0.344830
40.320000,0.646931,6.636822,0.353069
40.384000,0.638691,6.558516,0.361309
40.448000,0.630452,6.480157,0.369548
40.512000,0.622277,6.402893,0.377723
40.576000,0.614102,6.325073,0.385898
40.640000,0.605862,6.246054,0.394138
40.704000,0.597623,6.167486,0.402377
40.768000,0.589384,6.088864,0.410616
40.832000,0.581209,6.011337,0.418791
40.896000,0.573034,5.933254,0.426966
40.960000,0.564794,5.853972,0.435206
41.024000,0.556555,5.775141,0.443445
41.088000,0.548316,5.696256,0.451684
41.152000,0.540205,5.619613,0.459795
41.216000,0.531966,5.539618,0.468034
41.280000,0.523726,5.460577,0.476274
41.344000,0.515487,5.381482,0.484513
41.408000,0.507312,5.303482,0.492688
41.472000,0.499137,5.224927,0.500863
41.536000,0.490898,5.145172,0.509102
41.600000,0.482658,5.065867,0.517342
41.664000,0.474419,4.986510,0.525581
41.728000,0.466244,4.908247,0.533756
41.792000,0.458069,4.829429,0.541931
41.856000,0.449830,4.749411,0.550170
41.920000,0.441590,4.669844,0.558410
41.984000,0.433351,4.590224,0.566649
42.048000,0.425240,4.512845,0.574760
42.112000,0.417001,4.432114,0.582999
42.176000,0.408762,4.352337,0.591238
42.240000,0.400522,4.272506,0.599478
42.304000,0.392347,4.193770,0.607653
42.368000,0.384301,4.116773,0.615699
42.432000,0.376255,4.038719,0.623745
42.496000,0.368337,3.962907,0.631663
42.560000,0.360548,3.888332,0.639452
42.624000,0.352888,3.814996,0.647112
42.688000,0.345293,3.741752,0.654707
42.752000,0.337697,3.667957,0.662303
42.816000,0.330359,3.598701,0.669641
42.880000,0.323021,3.527387,0.676979
42.944000,0.315811,3.458319,0.684189
43.008000,0.308602,3.388200,0.691398
43.072000,0.301521,3.320328,0.698479
43.136000,0.294569,3.253700,0.705431
43.200000,0.287746,3.188315,0.712254
43.264000,0.280923,3.121881,0.719077
43.328000,0.274228,3.057697,0.725772
43.392000,0.267598,2.993611,0.732402
43.456000,0.261097,2.931274,0.738903
43.520000,0.254660,2.869037,0.745340
43.584000,0.248223,2.806256,0.751777
43.648000,0.241915,2.745727,0.758085
43.712000,0.235735,2.686446,0.764265
43.776000,0.229555,2.626120,0.770445
43.840000,0.223505,2.568049,0.776495
43.904000,0.217583,2.511227,0.782417
43.968000,0.211661,2.453361,0.788339
44.032000,0.205803,2.396604,0.794197
44.096000,0.200074,2.341601,0.799926
44.160000,0.194409,2.286703,0.805591
44.224000,0.188745,2.231265,0.811255
44.288000,0.183209,2.178085,0.816791
44.352000,0.177673,2.123864,0.822327
44.416000,0.172331,2.073048,0.827669
44.480000,0.166988,2.020690,0.833012
44.544000,0.161709,1.969445,0.838291
44.608000,0.156560,1.919956,0.843440
44.672000,0.151410,1.869429,0.848590
44.736000,0.146261,1.818869,0.853739
44.800000,0.141304,1.771717,0.858696
44.864000,0.136348,1.723025,0.863652
44.928000,0.131456,1.675448,0.868544
44.992000,0.126692,1.629631,0.873308
45.056000,0.121929,1.582778,0.878071
45.120000,0.117165,1.535894,0.882835
45.184000,0.112531,1.491273,0.887469
45.248000,0.108025,1.447911,0.891975
45.312000,0.103519,1.403515,0.896481
45.376000,0.099013,1.359090,0.900987
45.440000,0.094636,1.316929,0.905364
45.504000,0.090259,1.273735,0.909741
45.568000,0.086010,1.232808,0.913990
45.632000,0.081762,1.190847,0.918238
